PumpTime,StageNumber,FluidDescription,StageDescription,ProppantType,CleanVolume,SlurryVolume,TreatingPressure,CleanRate,SlurryRate,SlurryProppantConcentration,BHProppantConc,BacksidePressure,HydrostaticPressure,TreatmentCleanVolume,ProppantVolume,TreatmentProppantVolume,TreatmentSlurryVolume,TRANSCEND-350W_conc,TRANSCEND-350W_rate,TRANSCEND-350W_totalvol,OPTIKLEEN-WF_conc,OPTIKLEEN-WF_rate,OPTIKLEEN-WF_totalvol,KEMFLOW A-4387_conc,KEMFLOW A-4387_rate,KEMFLOW A-4387_totalvol,MC B-8614_conc,MC B-8614_rate,MC B-8614_totalvol
2021-07-01 10:29:12,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,121.655599,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:13,1,FR Water,Pad,,0,0,-41.2,0,0,0,0,121.694227,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:14,1,FR Water,Pad,,0,0,-39.81,0,0,0,0,121.738363,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:15,1,FR Water,Pad,,0,0,-39.38,0,0,0,0,121.784817,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:16,1,FR Water,Pad,,0,0,-39.41,0,0,0,0,121.862359,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:17,1,FR Water,Pad,,0,0,-34.31,0,0,0,0,121.88737,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:18,1,FR Water,Pad,,0,0,-38.68,0,0,0,0,121.84805,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:19,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,121.838257,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:20,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,121.887316,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:21,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,121.875665,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:22,1,FR Water,Pad,,0,0,-41.2,0,0,0,0,121.831163,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:23,1,FR Water,Pad,,0,0,-39.54,0,0,0,0,121.835422,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:24,1,FR Water,Pad,,0,0,-41.09,0,0,0,0,121.853611,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:25,1,FR Water,Pad,,0,0,-40.74,0,0,0,0,121.877577,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:26,1,FR Water,Pad,,0,0,-41.08,0,0,0,0,121.878526,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:27,1,FR Water,Pad,,0,0,-41.26,0,0,0,0,121.878282,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:28,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,121.855184,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
